initial_ang_1,initial_ang_2,initial_ang_3,initial_ang_4,initial_ang_5,target_pos_x,target_pos_y,target_pos_z,final_ang_1,final_ang_2,final_ang_3,final_ang_4,final_ang_5,algorithm
0,0,0,0,0,-268.339,292.722,139.34,2.31254,0.202306,0.882039,5.95425,6.1074,GA_Adam
0,0,0,0,0,32.1644,-70.7689,92.6674,5.13899,2.87969,1.68749,3.46728,3.81945,PSO_Adam
0,0,0,0,0,-412.884,165.873,73.4824,2.75953,0.318164,4.75187,2.80409,4.00119,PSO_Adam
0,0,0,0,0,126.053,55.5436,76.2741,0.414723,0.401712,5.88583,5.35973,6.01214,GA_Adam
0,0,0,0,0,-123.969,457.758,223.248,1.83514,5.73887,0.769073,1.96536,3.73939,SGO_Adam
0,0,0,0,0,229.938,-161.698,400.587,5.67019,5.90665,1.1378,2.35127,5.00851,SGO_Adam
0,0,0,0,0,365.296,-20.8441,178.155,6.22606,0.127647,1.44101,5.67983,2.90092,TLBO_Adam
0,0,0,0,0,20.0185,145.765,587.564,1.43419,0.689768,1.20942,1.06599,5.46292,SGO_Adam
0,0,0,0,0,111.868,183.078,434.175,1.02203,0.374682,2.19137,6.09421,1.11525,DE_Adam
0,0,0,0,0,359.465,3.82693,373.451,0.0104191,0.679544,0.975641,6.17236,0.463259,GA_Adam
0,0,0,0,0,397.932,-10.0175,428.372,6.25772,0.941659,0.175573,0.613631,5.48248,GA_Adam
0,0,0,0,0,-169.771,-426.909,278.387,4.3337,5.84334,0.832159,1.91268,2.34821,PSO_Adam
0,0,0,0,0,-368.58,-337.515,328.635,3.88297,0.160709,0.174157,1.77909,0.959321,GA_Adam
0,0,0,0,0,1.56746,344.084,226.573,1.56604,0.654636,0.70808,5.74856,6.10266,GA_Adam
0,0,0,0,0,238.046,169.166,328.464,3.75915,1.43037,1.83758,1.2357,3.25844,PSO_Adam
0,0,0,0,0,204.197,207.81,26.669,0.794159,1.06927,3.66732,2.52535,1.80483,DE_Adam
0,0,0,0,0,79.7191,-270.409,386.153,1.85734,1.42441,1.27065,1.89045,4.20914,SGO_Adam
0,0,0,0,0,-167.674,310.571,171.486,2.06557,4.83914,1.80662,1.85025,6.10103,SGO_Adam
0,0,0,0,0,88.9965,402.566,381.198,1.35307,0.395455,5.7582,2.78084,6.04635,SGO_Adam
0,0,0,0,0,-356.761,-300.237,284.541,3.84103,6.02663,0.397828,2.24064,0.959321,NN_Adam
0,0,0,0,0,252.103,200.583,511.971,0.671855,0.639853,0.958306,0.65665,1.39325,DE_Adam
0,0,0,0,0,235.082,222.05,472.965,3.89831,2.11263,0.796114,0.962586,0.492819,GA_Adam
0,0,0,0,0,143.83,-427.74,62.2585,1.89504,3.08119,0.638969,1.08484,1.91293,PSO_Adam
0,0,0,0,0,20.5146,-12.0294,14.726,5.75294,2.67027,1.49456,3.27573,3.81945,NN_Adam
0,0,0,0,0,245.096,187.143,110.755,0.651861,1.30505,3.58349,2.7192,1.80483,NN_Adam
0,0,0,0,0,-155.748,-96.6089,19.2519,0.55514,5.59887,4.28503,0.972243,0.456545,PSO_Adam
0,0,0,0,0,-2.2638,376.885,435.595,1.5766,6.26113,0.810397,1.90745,5.86181,SGO_Adam
0,0,0,0,0,-57.4562,199.254,156.392,1.85135,4.45443,1.52146,3.0462,1.8278,SGO_Adam
0,0,0,0,0,342.13,146.668,519.95,0.404944,0.682282,0.123805,1.7209,6.11271,SGO_Adam
0,0,0,0,0,-38.7825,501.609,242.74,1.64762,6.02669,0.440686,1.91818,3.73939,NN_Adam
0,0,0,0,0,138.747,-164.576,195.998,5.41263,0.876575,2.50668,4.29563,2.24423,SGO_Adam
0,0,0,0,0,-336.219,278.895,358.976,2.44888,0.45595,0.75242,0.443097,0.534823,GA_Adam
0,0,0,0,0,-197.73,-196.486,117.014,0.782018,1.90861,2.4339,0.603016,1.74789,DE_Adam
